title,filename,tm,edcs,uri,doi,edr,phi,epicum,term_key_0,term_ref_0,term_text_0,term_cert_0,0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0101,isic0101,285308,22100054,http://sicily.classics.ox.ac.uk/inscription/isic0101,10.5281/zenodo.4334136,127536,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0102,isic0102,285235,22100055,http://sicily.classics.ox.ac.uk/inscription/isic0102,10.5281/zenodo.4334140,110872,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0103,isic0103,285287,22100056,http://sicily.classics.ox.ac.uk/inscription/isic0103,10.5281/zenodo.4334142,127508,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0104,isic0104,285236,22100057,http://sicily.classics.ox.ac.uk/inscription/isic0104,10.5281/zenodo.4334146,110876,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building; honorific,,,,,,
I.Sicily inscription 0105,isic0105,284840,10900636,http://sicily.classics.ox.ac.uk/inscription/isic0105,10.5281/zenodo.4334148,110878,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0106,isic0106,285120,22100058,http://sicily.classics.ox.ac.uk/inscription/isic0106,10.5281/zenodo.4334152,110879,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific (?),,,,,,
I.Sicily inscription 0107,isic0107,285028,22100059,http://sicily.classics.ox.ac.uk/inscription/isic0107,10.5281/zenodo.4334154,110884,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication (?),,,,,,
I.Sicily inscription 0108,isic0108,285029,10900637,http://sicily.classics.ox.ac.uk/inscription/isic0108,10.5281/zenodo.4334158,110885,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,,,
I.Sicily inscription 0109,isic0109,284841,22100060,http://sicily.classics.ox.ac.uk/inscription/isic0109,10.5281/zenodo.4334162,110888,,,,,(?),,,,,,
I.Sicily inscription 0110,isic0110,284842,10900638,http://sicily.classics.ox.ac.uk/inscription/isic0110,10.5281/zenodo.4334166,110891,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,,,
I.Sicily inscription 0111,isic0111,284843,22100061,http://sicily.classics.ox.ac.uk/inscription/isic0111,10.5281/zenodo.4334170,110893,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building (?),,,,,,
I.Sicily inscription 0112,isic0112,285193,22100062,http://sicily.classics.ox.ac.uk/inscription/isic0112,10.5281/zenodo.4334174,110913,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building (?),,,,,,
I.Sicily inscription 0113,isic0113,285160,22100063,http://sicily.classics.ox.ac.uk/inscription/isic0113,10.5281/zenodo.4334180,110914,,,,,(?),,,,,,
I.Sicily inscription 0114,isic0114,285317,22100064,http://sicily.classics.ox.ac.uk/inscription/isic0114,10.5281/zenodo.4334184,127537,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0115,isic0115,285321,22100065,http://sicily.classics.ox.ac.uk/inscription/isic0115,10.5281/zenodo.4334189,110917,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0116,isic0116,285207,22100066,http://sicily.classics.ox.ac.uk/inscription/isic0116,10.5281/zenodo.4334193,126999,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0117,isic0117,285309,22100067,http://sicily.classics.ox.ac.uk/inscription/isic0117,10.5281/zenodo.4334197,127538,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0118,isic0118,285310,22100069,http://sicily.classics.ox.ac.uk/inscription/isic0118,10.5281/zenodo.4334201,127539,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0119,isic0119,284768,22100070,http://sicily.classics.ox.ac.uk/inscription/isic0119,10.5281/zenodo.4334203,033608; 111000,313702,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
I.Sicily inscription 0120,isic0120,285268,22100071,http://sicily.classics.ox.ac.uk/inscription/isic0120,10.5281/zenodo.4334205,127484,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,,,
